Unnamed: 0,date,time,tweet,tweet_translated,tweet_traducido,etiqueta_sentimiento,score_sentimiento
0,2023-01-01,,resuelto muchisimas gracias excelente servicio siempre,Solved thank you very much excellent service always,Solved thank you very much excellent service always,Positive,0.9817832
1,2023-01-02,,muchas gracias espero dm,Thank you very much I hope DM,Thank you very much I hope DM,Positive,0.9798391
2,2023-01-02,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
3,2023-01-02,,similar paso queria renovar token poder hacer transferencia cerrar cuenta wow mas facil sacar dinero ventanilla,"Similar step I wanted to renew token to be able to make a closure wow, easier to get money window","Similar step I wanted to renew token to be able to make a closure wow, easier to get money window",Positive,0.732132
4,2023-01-02,,yeeeei traves cuenta acabo contratar cuenta ahorro reto 2023 tener 25 mil pesos final ano super herramienta domiciliar cuenta eje ahorrar disciplinadamente cada semana vamos flexedbicepsmediumlightskintonemoneybag,Yeeeei miscounting I end up hiring savings challenge 2023 having 25 thousand pesos final anus home tool tells Axis Disciplined every week we are going FlexedbicePsmediumlightsKSKintonemoneybag,Yeeeei miscounting I end up hiring savings challenge 2023 having 25 thousand pesos final anus home tool tells Axis Disciplined every week we are going FlexedbicePsmediumlightsKSKintonemoneybag,Neutral,0.84894377
5,2023-01-02,,senal necesitan tener minimo dinero banamex,Senal need to have minimum money Banamex,Senal need to have minimum money Banamex,Neutral,0.7731141
6,2023-01-03,,gracias beamingfacewithsmilingeyes,gracias beamingfacewithsmilingeyes,gracias beamingfacewithsmilingeyes,Positive,0.7072779
7,2023-01-03,,muchas gracias smilingfacewithsmilingeyes,Thank you very much Smilingfacewithsmilingeyes,Thank you very much Smilingfacewithsmilingeyes,Positive,0.9731443
8,2023-01-03,,mucho recomiendo inversion mejores rendimientos visto plazo 7 tambien chingon limite 20k inverson,I recommend investment better returns.,I recommend investment better returns.,Positive,0.66754115
9,2023-01-04,,gracias playera dieron galerias gdl,Thanks shirt they gave gdl galleries,Thanks shirt they gave gdl galleries,Neutral,0.52023554
10,2023-01-04,,buen problemas cuenta,good problems count,good problems count,Neutral,0.5330114
11,2023-01-05,,gracias,gracias,gracias,Neutral,0.6270798
12,2023-01-05,,respetos ustedes gracias servicio raisinghandslightskintone,respect you thanks RaisinghandsLightone Service,respect you thanks RaisinghandsLightone Service,Positive,0.88604975
13,2023-01-05,,si bloquee desbloquee pude hacer deposito oxxo gracias,If I block unlocking I could make oxxo deposit thanks,If I block unlocking I could make oxxo deposit thanks,Neutral,0.726927
14,2023-01-06,,bien gracias thumbsup,Good thanks Thumbsup,Good thanks Thumbsup,Positive,0.9698131
15,2023-01-06,,milagro gano hearthandslightskintone,milagro gano hearthandslightskintone,milagro gano hearthandslightskintone,Neutral,0.8351283
16,2023-01-06,,siii amigo muy padre puedes inveir da buen rendimiento newmoonface,Yes very father friend you can invent good performance Newmoonface,Yes very father friend you can invent good performance Newmoonface,Positive,0.9174833
17,2023-01-06,,nunca habia ganado sparkles hahaha,I had never won Sparkles Hahaha,I had never won Sparkles Hahaha,Neutral,0.510989
18,2023-01-06,,cashback pude pagar servicio internet yei,Cashback I could pay Internet service Yei,Cashback I could pay Internet service Yei,Neutral,0.7385561
19,2023-01-07,,gracias,gracias,gracias,Neutral,0.6270798
20,2023-01-07,,listo gracias,ready thanks,ready thanks,Neutral,0.4960924
21,2023-01-07,,si gracias,"yes, thanks","yes, thanks",Positive,0.8507747
22,2023-01-08,,llego semana despues aprox,I arrive week later approx,I arrive week later approx,Neutral,0.9175883
23,2023-01-09,,buen dudas cuenta podrian ponerse contacto muchas gracias,Good doubts you could contact thank you very much,Good doubts you could contact thank you very much,Positive,0.9478095
24,2023-01-10,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
25,2023-01-10,,muchas gracias foldedhands,Thank you very much Foldedhands,Thank you very much Foldedhands,Positive,0.9644819
26,2023-01-10,,bloquea tarjeta 5 minutos mas posteriomente vuelves desbloquear agregas solucion confirmas tweet favor,BLOCK 5 MINUTE CARD MORE Later You Back Unlock You Add Solution Confirms Tweet Poy,BLOCK 5 MINUTE CARD MORE Later You Back Unlock You Add Solution Confirms Tweet Poy,Neutral,0.88032705
27,2023-01-10,,35 000 udis 184 000 todas plataformas inveido mejores finsus cetes largo plazo heybanco mejor opcion fondo emergencia liquidez semanal finsus rededor 90 poafolio,35 000 UDIS 184 000 All platforms invented Best Finsus CETS Long Term Heybanco Better Option Emergency Emergency Liquidity Weekly Finsus Rourse 90 Poafolio,35 000 UDIS 184 000 All platforms invented Best Finsus CETS Long Term Heybanco Better Option Emergency Emergency Liquidity Weekly Finsus Rourse 90 Poafolio,Neutral,0.60488266
28,2023-01-11,,excelente gracias responder foldedhands muy atentos handshake,Excellent thanks answer very attentive foldedshake,Excellent thanks answer very attentive foldedshake,Positive,0.9208417
29,2023-01-11,,pues bueno quede cena muchas gracias thumbsup,"Well, there is dinner thank you very much Thumbsup","Well, there is dinner thank you very much Thumbsup",Positive,0.97118413
