date,time,tweet,Traduccion,sentimiento_predicho,etiqueta_sentimiento,score_sentimiento
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre","Resolved, thank you very much, excellent service as always",0,Positive,0.9812856
2023-01-02,,"Muchas gracias, espero su dm","Thank you very much, I wait for your DM",0,Positive,0.9659579
2023-01-02,,Muchas gracias!,Thank you so much!,0,Positive,0.9851757
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,Something similar happened to me.I wanted to renew my token to be able to transfer before closing the account and wow.It was easier to get the money through the window.,0,Positive,0.62042606
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,Yeeeei!Through my account I just hired my savings account with my 2023 challenge to have 25 thousand pesos at the end of the year.It has a super tool to house my account and thus save disciplinedly every week!Come on !!!💪🏼💰,0,Positive,0.9449242
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,This is the signal they need to have the minimum money in Banamex,0,Neutral,0.81342334
2023-01-03,,Gracias 😁,Gracias 😁,0,Positive,0.8611623
2023-01-03,,Muchas gracias 😊,Thank you very much 😊,0,Positive,0.972263
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.","I don't know much, but I recommend the investment of.Of the best yields I have seen, and term to 7 days.Also that of this chingón, but they have a 20K limit in investment.",0,Positive,0.71772724
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,Thanks for the shirt they gave me in GDL galleries.,0,Positive,0.9663943
2023-01-04,,buen día...tengo problemas con mi cuenta,Good morning ... I have problems with my account,0,Negative,0.7609779
2023-01-05,,Gracias,Gracias,0,Neutral,0.62235206
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,My respect for you ... thanks for the service 🙌🏻,0,Positive,0.96345043
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias","If I already block and unlock it and I could make the deposit in Oxxo, thanks",0,Neutral,0.6850615
2023-01-06,,"Ya todo bien, gracias 👍","All good, thanks 👍",0,Positive,0.9576372
2023-01-06,,Milagro que me gano algo 🫶🏻,Miracle that I gain something 🫶🏻,0,Positive,0.8686834
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,Yes friend hahaha is very father and you can invent and gives you good performance 🌚,0,Positive,0.9307435
2023-01-06,,nunca había ganado nada antes ✨ hahaha,I had never won anything before ✨ hahaha,0,Neutral,0.5455991
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),With I was able to pay my Internet service.Yei :),0,Positive,0.91992605
2023-01-07,,Gracias!!!,Gracias!!!,0,Positive,0.85205054
2023-01-07,,"Listo, gracias",Ready thanks,0,Neutral,0.53102875
2023-01-07,,Si gracias,"Yes, thanks",0,Positive,0.81345844
2023-01-08,,A mí me llegó una semana después aprox,I got a week later approx,0,Neutral,0.88367945
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,Hello good day I have some doubts with my account could get in touch ... Thank you very much ..,0,Positive,0.8062684
2023-01-10,,Muchas gracias!,Thank you so much!,0,Positive,0.9851757
2023-01-10,,Muchas gracias 🙏,Thank you very much 🙏,0,Positive,0.9653059
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.","Block the card 5 minutes or more, posterioment you will unlock it again and you add it.That is the solution, you confirm me with a tweet please.",0,Neutral,0.75453335
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.","It is 35,000 units (184,000). Of all the platforms in which I have invented the best are Finsus and CETES for long term and Heybanco is for me the best option for your emergency fund, since you have weekly liquidity.In Finsus I am around 90% of my poafolio.",0,Positive,0.83695734
2023-01-11,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,Excellent thanks for answering 🙏 We will be very attentive 🤝,0,Positive,0.9559957
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias 👍","Well, I ran out of dinner, thank you very much 👍",0,Positive,0.83334076
2023-01-11,,"Gracias e igualmente, bendiciones 🙏","Thanks and also, blessings 🙏",0,Positive,0.93643
2023-01-11,,Vale estoy esperando,Ok I'm waiting,0,Neutral,0.5427002
2023-01-11,,Muchas gracias espero la respuesta,Thank you very much I hope the answer,0,Positive,0.9554046
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,I earned 99 credit pesos at Amazon Coesía what pleasant subjects 😁,0,Positive,0.96517587
2023-01-13,,es mejor,is better,0,Positive,0.49676558
2023-01-13,,Contéstenme por favor,Please,0,Neutral,0.59337395
2023-01-14,,Muchas gracias que amables 😊,Thank you very much that friendly 😊,0,Positive,0.9780772
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito","Heybanco many years as a client of Bancomer and I found me and the truth is very comfortable with the services, app and debit cards and credit cards",0,Positive,0.952306
